"pt_lonlattext"
"POINT(-74.0073199 40.727328)"
"POINT(-74.0093501 40.7289809)"
"POINT(-74.0085942 40.7289084)"
"POINT(-74.0072029 40.72805)"
"POINT(-74.0070905 40.7287682)"
"POINT(-74.0056579 40.726435)"
"POINT(-74.0055449 40.727157)"
"POINT(-74.0054269 40.727879)"
"POINT(-74.0053146 40.728601)"
"POINT(-74.0092081 40.7297049)"
"POINT(-74.0090699 40.730434)"
"POINT(-74.0069726 40.7294968)"
"POINT(-74.0068569 40.730228)"
"POINT(-74.0067369 40.730947)"
"POINT(-74.0051653 40.7294702)"
"POINT(-74.0039572 40.7298634)"
"POINT(-74.0066239 40.731669)"
"POINT(-74.0046259 40.731003)"
"POINT(-74.0044599 40.730719)"
"POINT(-74.0042229 40.731128)"
"POINT(-74.0104388 40.7324448)"
"POINT(-74.0102358 40.7324182)"
"POINT(-74.0101 40.7338407)"
"POINT(-74.0103049 40.7338857)"
"POINT(-74.0101857 40.7353185)"
"POINT(-74.0099712 40.735291)"
"POINT(-74.0087839 40.731873)"
"POINT(-74.008606 40.7326715)"
"POINT(-74.0075145 40.7328706)"
"POINT(-74.0085539 40.733401)"
"POINT(-74.0084909 40.734094)"
"POINT(-74.0073439 40.733588)"
"POINT(-74.0065009 40.732426)"
"POINT(-74.0064069 40.733054)"
"POINT(-74.0062939 40.733742)"
"POINT(-74.0061809 40.734439)"
"POINT(-74.0042442 40.7333629)"
"POINT(-74.0045609 40.73401)"
"POINT(-74.0083699 40.735506)"
"POINT(-74.0082539 40.736961)"
"POINT(-74.0060689 40.735134)"
"POINT(-74.0059599 40.735845)"
"POINT(-74.0047479 40.73466)"
"POINT(-74.0049319 40.735304)"
"POINT(-74.0058539 40.736534)"
"POINT(-74.0064979 40.736957)"
"POINT(-74.0055456 40.7369124)"
"POINT(-74.0051259 40.735961)"
"POINT(-74.0619083 40.7396498)"
"POINT(-74.0623858 40.7455273)"
"POINT(-74.0623036 40.745497)"
"POINT(-74.0499709 40.739)"
"POINT(-74.0488259 40.740189)"
"POINT(-74.0621559 40.775611)"
"POINT(-74.0597559 40.77827)"
"POINT(-74.0472721 40.7393618)"
"POINT(-74.047137 40.7395649)"
"POINT(-74.041445 40.7378992)"
"POINT(-74.0421902 40.7386838)"
"POINT(-74.030899 40.737447)"
"POINT(-74.0305235 40.73873)"
"POINT(-74.0302073 40.7399812)"
"POINT(-74.0297969 40.7412871)"
"POINT(-74.0295249 40.7422018)"
"POINT(-74.0291288 40.7434908)"
"POINT(-74.0287484 40.7447536)"
"POINT(-74.0283418 40.7460665)"
"POINT(-74.02797 40.7472992)"
"POINT(-74.0448469 40.757008)"
"POINT(-74.0436819 40.756591)"
"POINT(-74.0440789 40.758067)"
"POINT(-74.0275225 40.7485673)"
"POINT(-74.0287591 40.7537252)"
"POINT(-74.0267621 40.7510842)"
"POINT(-74.0263571 40.7523579)"
"POINT(-74.0260826 40.7532342)"
"POINT(-74.035676 40.7550203)"
"POINT(-74.0311859 40.755393)"
"POINT(-74.010028 40.7375621)"
"POINT(-74.0098082 40.7375543)"
"POINT(-74.0101185 40.7385169)"
"POINT(-74.0099058 40.7388125)"
"POINT(-74.010047 40.7393286)"
"POINT(-74.0098511 40.7392972)"
"POINT(-74.0082059 40.737554)"
"POINT(-74.0064869 40.73755)"
"POINT(-74.0056869 40.737552)"
"POINT(-74.0055909 40.738139)"
"POINT(-74.0048299 40.737548)"
"POINT(-74.0041749 40.738134)"
"POINT(-74.0054949 40.738754)"
"POINT(-74.0053899 40.739412)"
"POINT(-74.0052909 40.740024)"
"POINT(-74.0088705 40.7424626)"
"POINT(-74.0086874 40.7423524)"
"POINT(-74.0081808 40.7421216)"
"POINT(-74.008101 40.7424335)"
"POINT(-74.0069699 40.741628)"
"POINT(-74.0054493 40.7409922)"
"POINT(-74.0053436 40.7409462)"
"POINT(-74.0051264 40.7408505)"
"POINT(-74.0049193 40.7416809)"
"POINT(-74.0048212 40.7416415)"
"POINT(-74.0044324 40.7422885)"
"POINT(-74.0087508 40.7430666)"
"POINT(-74.0085371 40.7431693)"
"POINT(-74.008375 40.7439579)"
"POINT(-74.0077049 40.742834)"
"POINT(-74.0072379 40.74347)"
"POINT(-74.0068109 40.744061)"
"POINT(-74.0085359 40.7441719)"
"POINT(-74.0084361 40.7447675)"
"POINT(-74.008246 40.7446947)"
"POINT(-74.0082957 40.7454493)"
"POINT(-74.0081259 40.7453774)"
"POINT(-74.0039991 40.7428829)"
"POINT(-74.0063849 40.744646)"
"POINT(-74.0059599 40.745231)"
"POINT(-74.00804 40.746892)"
"POINT(-74.0078598 40.746795)"
"POINT(-74.0076955 40.7477566)"
"POINT(-74.0078317 40.7480596)"
"POINT(-74.0076495 40.7481843)"
"POINT(-74.0074125 40.7482137)"
"POINT(-74.0055349 40.745816)"
"POINT(-74.0051066 40.7463948)"
"POINT(-74.0046529 40.747023)"
"POINT(-74.0041679 40.74769)"
"POINT(-74.0082323 40.7493779)"
"POINT(-74.0078426 40.7485897)"
"POINT(-74.0076804 40.7487054)"
"POINT(-74.0070371 40.7489204)"
"POINT(-74.0069319 40.7488769)"
"POINT(-74.0079455 40.749279)"
"POINT(-74.0082724 40.7502992)"
"POINT(-74.0084923 40.7503835)"
"POINT(-74.0063482 40.7494817)"
"POINT(-74.006569 40.7495415)"
"POINT(-74.0060704 40.7501781)"
"POINT(-74.0056332 40.7507927)"
"POINT(-74.0078169 40.7517108)"
"POINT(-74.0080143 40.7517888)"
"POINT(-74.0070351 40.7537772)"
"POINT(-74.0051842 40.7513932)"
"POINT(-74.0047376 40.7520155)"
"POINT(-74.0042975 40.752641)"
"POINT(-74.0072597 40.7538341)"
"POINT(-74.0068805 40.754527)"
"POINT(-74.0066496 40.7544286)"
"POINT(-74.0050278 40.7570558)"
"POINT(-74.0048038 40.7569542)"
"POINT(-74.0042951 40.7567413)"
"POINT(-74.0040844 40.7583726)"
"POINT(-74.0469786 40.7661263)"
"POINT(-74.0468654 40.7660806)"
"POINT(-74.0283322 40.7601359)"
"POINT(-74.0277369 40.760041)"
"POINT(-74.0269149 40.759897)"
"POINT(-74.027551 40.770147)"
"POINT(-74.0265726 40.7697695)"
"POINT(-74.0262852 40.7701595)"
"POINT(-74.0421868 40.7731268)"
"POINT(-74.042098 40.7734492)"
"POINT(-74.0395841 40.7760492)"
"POINT(-74.0411325 40.7808258)"
"POINT(-74.0393904 40.7793739)"
"POINT(-74.039314 40.7794772)"
"POINT(-74.0392408 40.7793155)"
"POINT(-74.0391745 40.7794082)"
"POINT(-74.0378871 40.7791319)"
"POINT(-74.0332888 40.7727271)"
"POINT(-74.0317117 40.7719917)"
"POINT(-74.0350644 40.773503)"
"POINT(-74.0347721 40.7734177)"
"POINT(-74.0345441 40.774023)"
"POINT(-74.034292 40.7738849)"
"POINT(-74.0328597 40.7732064)"
"POINT(-74.0318582 40.7751385)"
"POINT(-74.0289758 40.7707445)"
"POINT(-74.0298878 40.7711711)"
"POINT(-74.0296678 40.771488)"
"POINT(-74.0287452 40.7710655)"
"POINT(-74.0313039 40.7724676)"
"POINT(-74.0282019 40.770843)"
"POINT(-74.0272592 40.7704926)"
"POINT(-74.0284823 40.7711914)"
"POINT(-74.0285735 40.7713295)"
"POINT(-74.0301941 40.7755355)"
"POINT(-74.0298249 40.7759661)"
"POINT(-74.029386 40.7764702)"
"POINT(-74.0257772 40.759812)"
"POINT(-74.0248926 40.7597859)"
"POINT(-74.0231193 40.7645769)"
"POINT(-74.0214288 40.7637658)"
"POINT(-74.0249793 40.7669662)"
"POINT(-74.0244536 40.7688472)"
"POINT(-74.0241961 40.769156)"
"POINT(-74.0236382 40.7697979)"
"POINT(-74.0215028 40.7675291)"
"POINT(-74.021389 40.7679027)"
"POINT(-74.0161833 40.7694289)"
"POINT(-74.0231873 40.7703903)"
"POINT(-74.0193472 40.7713776)"
"POINT(-74.0192463 40.7713859)"
"POINT(-74.0184109 40.771117)"
"POINT(-74.0161255 40.7718017)"
"POINT(-74.0187389 40.774516)"
"POINT(-74.0186659 40.774483)"
"POINT(-74.0154832 40.7730957)"
"POINT(-74.0151995 40.7738621)"
"POINT(-74.0146534 40.7719831)"
"POINT(-74.0143814 40.7750975)"
"POINT(-74.0138376 40.7771708)"
"POINT(-74.0137821 40.7774624)"
"POINT(-74.0136419 40.777853)"
"POINT(-74.0130574 40.7784061)"
"POINT(-74.0120874 40.77596)"
"POINT(-74.0119387 40.7759288)"
"POINT(-74.0119081 40.778061)"
"POINT(-74.0122299 40.7790686)"
"POINT(-74.010997 40.7791552)"
"POINT(-74.0118319 40.779744)"
"POINT(-74.0103434 40.779993)"
"POINT(-74.0097703 40.7807966)"
"POINT(-73.9978377 40.6640342)"
"POINT(-73.9969258 40.664376)"
"POINT(-73.9972637 40.6645876)"
"POINT(-73.9967273 40.6651654)"
"POINT(-73.9963686 40.6649525)"
"POINT(-73.9957949 40.665516)"
"POINT(-73.9960997 40.6657074)"
"POINT(-73.9964198 40.6675867)"
"POINT(-73.9953818 40.66619)"
"POINT(-73.9951877 40.6660769)"
"POINT(-73.9950264 40.6670669)"
"POINT(-73.9948534 40.6668553)"
"POINT(-73.9970601 40.6689311)"
"POINT(-73.9978806 40.6702353)"
"POINT(-73.997489 40.6703777)"
"POINT(-73.9888099 40.66617)"
"POINT(-73.9857959 40.669783)"
"POINT(-73.9792239 40.665749)"
"POINT(-73.9815819 40.666888)"
"POINT(-73.976698 40.6687782)"
"POINT(-73.9748417 40.6670331)"
"POINT(-73.9738403 40.6682351)"
"POINT(-73.9762009 40.669372)"
"POINT(-73.9756959 40.669973)"
"POINT(-73.9751959 40.670576)"
"POINT(-73.9746979 40.671175)"
"POINT(-73.9728322 40.6694439)"
"POINT(-73.9713518 40.6712469)"
"POINT(-73.9993088 40.6722626)"
"POINT(-73.9991317 40.6723867)"
"POINT(-73.9992087 40.6725106)"
"POINT(-73.9991229 40.6725838)"
"POINT(-73.9988249 40.672559)"
"POINT(-74.0000287 40.6738064)"
"POINT(-74.0001169 40.6739529)"
"POINT(-74.0015798 40.6760664)"
"POINT(-74.0013652 40.6758549)"
"POINT(-73.9998387 40.6742002)"
"POINT(-74.0001521 40.6746968)"
"POINT(-74.0006786 40.6748459)"
"POINT(-73.9996667 40.6745566)"
"POINT(-73.9993558 40.6752011)"
"POINT(-74.0006679 40.6755701)"
"POINT(-74.0009146 40.6761071)"
"POINT(-73.9977699 40.674742)"
"POINT(-74.0023875 40.6784309)"
"POINT(-74.0019049 40.678935)"
"POINT(-74.003787 40.6800549)"
"POINT(-74.0022519 40.681894)"
"POINT(-74.002201 40.6820003)"
"POINT(-73.9880039 40.675077)"
"POINT(-73.9893499 40.6757279)"
"POINT(-74.0016479 40.684009)"
"POINT(-74.0012809 40.683909)"
"POINT(-74.0013269 40.684682)"
"POINT(-74.0009579 40.684579)"
"POINT(-74.0013877 40.687747)"
"POINT(-74.000057 40.6873126)"
"POINT(-73.999698 40.6871944)"
"POINT(-73.9978729 40.687358)"
"POINT(-73.9960409 40.686753)"
"POINT(-73.9940898 40.6861137)"
"POINT(-73.9987419 40.689177)"
"POINT(-74.0001387 40.6903117)"
"POINT(-74.0001044 40.6903768)"
"POINT(-73.9999132 40.6918102)"
"POINT(-73.9994531 40.6916583)"
"POINT(-73.9984779 40.6913811)"
"POINT(-73.9943595 40.6902428)"
"POINT(-73.9977929 40.691188)"
"POINT(-73.9904794 40.6867365)"
"POINT(-73.9923675 40.6896884)"
"POINT(-73.9878919 40.690468)"
"POINT(-73.9909915 40.6925374)"
"POINT(-73.9907326 40.6930407)"
"POINT(-73.9893828 40.6910267)"
"POINT(-73.9892197 40.6909681)"
"POINT(-73.9881985 40.691792)"
"POINT(-73.9889319 40.6920881)"
"POINT(-73.9890996 40.692159)"
"POINT(-73.9846959 40.689228)"
"POINT(-73.9870999 40.690163)"
"POINT(-73.9857389 40.689631)"
"POINT(-73.9851049 40.690561)"
"POINT(-73.9835544 40.6887792)"
"POINT(-73.9840699 40.690143)"
"POINT(-73.9844329 40.690292)"
"POINT(-73.982951 40.6897015)"
"POINT(-73.9864154 40.691084)"
"POINT(-73.9873479 40.691458)"
"POINT(-73.9853629 40.690667)"
"POINT(-73.9872968 40.6922339)"
"POINT(-73.9852789 40.692158)"
"POINT(-73.9821762 40.6911639)"
"POINT(-73.9820624 40.6913087)"
"POINT(-73.9826202 40.692051)"
"POINT(-73.9824337 40.6920468)"
"POINT(-73.9799169 40.672858)"
"POINT(-73.9794149 40.67346)"
"POINT(-73.9775579 40.671715)"
"POINT(-73.9770559 40.672318)"
"POINT(-73.9788281 40.6741637)"
"POINT(-73.9783922 40.674801)"
"POINT(-73.9779599 40.675438)"
"POINT(-73.9738251 40.6722085)"
"POINT(-73.9763209 40.6731972)"
"POINT(-73.9758923 40.6738279)"
"POINT(-73.9733908 40.6728436)"
"POINT(-73.9729549 40.673488)"
"POINT(-73.9725269 40.674123)"
"POINT(-73.9754669 40.674467)"
"POINT(-73.9750299 40.675097)"
"POINT(-73.9745969 40.675732)"
"POINT(-73.9741089 40.676452)"
"POINT(-73.9720949 40.674758)"
"POINT(-73.9716043 40.6754782)"
"POINT(-73.9710502 40.6752516)"
