"pt_lonlattext"
"POINT(-73.9808579 40.729725)"
"POINT(-73.9803528 40.730428)"
"POINT(-73.9780304 40.7294404)"
"POINT(-73.9761796 40.7277545)"
"POINT(-73.9756963 40.7284597)"
"POINT(-73.9747417 40.729777)"
"POINT(-73.9816005 40.732664)"
"POINT(-73.981153 40.7332587)"
"POINT(-73.9807313 40.7338367)"
"POINT(-73.9803077 40.7344252)"
"POINT(-73.9777035 40.7340765)"
"POINT(-73.9798822 40.7350189)"
"POINT(-73.9794352 40.7355808)"
"POINT(-73.9818451 40.7366007)"
"POINT(-73.981401 40.7372097)"
"POINT(-73.9789953 40.7361899)"
"POINT(-73.978514 40.7368726)"
"POINT(-73.9753533 40.733105)"
"POINT(-73.974461 40.7327577)"
"POINT(-73.9751081 40.7354184)"
"POINT(-73.9763226 40.735939)"
"POINT(-73.9492069 40.695378)"
"POINT(-73.9598889 40.703032)"
"POINT(-73.9481478 40.7038827)"
"POINT(-73.9477938 40.704086)"
"POINT(-73.9588839 40.704768)"
"POINT(-73.9593379 40.705181)"
"POINT(-73.9595089 40.705332)"
"POINT(-73.9575969 40.706568)"
"POINT(-73.9557133 40.7070196)"
"POINT(-73.9584559 40.707252)"
"POINT(-73.9579198 40.7083755)"
"POINT(-73.9592877 40.7088513)"
"POINT(-73.9588619 40.709552)"
"POINT(-73.9574879 40.70908)"
"POINT(-73.9568079 40.707879)"
"POINT(-73.9567449 40.707977)"
"POINT(-73.9555594 40.7075703)"
"POINT(-73.9563049 40.708674)"
"POINT(-73.9570724 40.7097435)"
"POINT(-73.9558965 40.7093141)"
"POINT(-73.9544239 40.706673)"
"POINT(-73.9540359 40.7070579)"
"POINT(-73.9519331 40.7063422)"
"POINT(-73.9529362 40.706692)"
"POINT(-73.9494709 40.705019)"
"POINT(-73.9502272 40.705415)"
"POINT(-73.9510962 40.705899)"
"POINT(-73.9504059 40.706653)"
"POINT(-73.9599429 40.710787)"
"POINT(-73.9566843 40.7103646)"
"POINT(-73.9565281 40.7103797)"
"POINT(-73.9564839 40.7106697)"
"POINT(-73.9554896 40.7099521)"
"POINT(-73.9551311 40.7105402)"
"POINT(-73.9550633 40.7106312)"
"POINT(-73.9575205 40.7145047)"
"POINT(-73.9559939 40.714092)"
"POINT(-73.9570254 40.7146494)"
"POINT(-73.9553299 40.714073)"
"POINT(-73.9543399 40.714072)"
"POINT(-73.9534259 40.714068)"
"POINT(-73.9533055 40.7141758)"
"POINT(-73.9529251 40.7140601)"
"POINT(-73.9517607 40.7150489)"
"POINT(-73.9516046 40.7140674)"
"POINT(-73.9488919 40.711168)"
"POINT(-73.9518354 40.7154811)"
"POINT(-73.9520404 40.7166508)"
"POINT(-73.9497848 40.7164968)"
"POINT(-73.9498317 40.716878)"
"POINT(-73.9574609 40.722285)"
"POINT(-73.9508749 40.725721)"
"POINT(-73.9483219 40.717865)"
"POINT(-73.9482646 40.7174432)"
"POINT(-73.9467519 40.7184056)"
"POINT(-73.9467979 40.718864)"
"POINT(-73.9453569 40.719233)"
"POINT(-73.9456109 40.719583)"
"POINT(-73.9441709 40.719949)"
"POINT(-73.9438989 40.719604)"
"POINT(-73.9444099 40.720272)"
"POINT(-73.9427405 40.720798)"
"POINT(-73.9428318 40.7211524)"
"POINT(-73.9410512 40.7218733)"
"POINT(-73.9410909 40.722271)"
"POINT(-73.9391399 40.723078)"
"POINT(-73.9393109 40.723348)"
"POINT(-73.9501324 40.7279439)"
"POINT(-73.9500053 40.7279869)"
"POINT(-73.9521562 40.7338898)"
"POINT(-73.9520703 40.7340107)"
"POINT(-73.9523426 40.7340859)"
"POINT(-73.9380359 40.7343727)"
"POINT(-73.9376409 40.7237501)"
"POINT(-73.9376539 40.724266)"
"POINT(-73.9367524 40.7357452)"
"POINT(-73.9356463 40.7368869)"
"POINT(-73.9347799 40.735554)"
"POINT(-73.9315882 40.7368206)"
"POINT(-73.9308139 40.737152)"
"POINT(-73.9191942 40.7314745)"
"POINT(-73.9230659 40.735628)"
"POINT(-73.9184092 40.7351685)"
"POINT(-73.9183531 40.7354353)"
"POINT(-74.0038739 40.738139)"
"POINT(-74.0017605 40.7376586)"
"POINT(-74.0034459 40.738756)"
"POINT(-74.0027919 40.7393742)"
"POINT(-74.0024004 40.738749)"
"POINT(-74.0025243 40.739755)"
"POINT(-74.0001741 40.7378614)"
"POINT(-73.9996839 40.738552)"
"POINT(-73.9991849 40.739243)"
"POINT(-73.9987129 40.739881)"
"POINT(-74.0020105 40.7404552)"
"POINT(-74.0015549 40.74108)"
"POINT(-74.0011289 40.741668)"
"POINT(-74.0007029 40.742254)"
"POINT(-73.9968399 40.737361)"
"POINT(-73.9963369 40.738044)"
"POINT(-73.9958739 40.738686)"
"POINT(-73.9954459 40.739272)"
"POINT(-73.9950179 40.73986)"
"POINT(-73.9982869 40.74047)"
"POINT(-73.9978619 40.741056)"
"POINT(-73.9974339 40.741642)"
"POINT(-73.9970069 40.742228)"
"POINT(-73.9945929 40.740442)"
"POINT(-73.9941649 40.741031)"
"POINT(-73.9937389 40.741617)"
"POINT(-73.9932919 40.742233)"
"POINT(-74.0035805 40.7434761)"
"POINT(-74.0031572 40.7440556)"
"POINT(-74.0027322 40.7446399)"
"POINT(-74.0023039 40.7452231)"
"POINT(-74.0002749 40.742839)"
"POINT(-73.9998516 40.7434266)"
"POINT(-73.9994195 40.7440088)"
"POINT(-73.9989719 40.74463)"
"POINT(-73.998485 40.7452952)"
"POINT(-74.0018591 40.7458555)"
"POINT(-74.0013687 40.7465084)"
"POINT(-74.000881 40.747164)"
"POINT(-74.0004379 40.7477804)"
"POINT(-73.9965799 40.742811)"
"POINT(-73.9961289 40.743431)"
"POINT(-73.9956449 40.744099)"
"POINT(-73.9951609 40.744763)"
"POINT(-73.9947089 40.745383)"
"POINT(-73.9980072 40.7459513)"
"POINT(-73.9975494 40.74658)"
"POINT(-73.9970953 40.7472035)"
"POINT(-73.9966451 40.7478218)"
"POINT(-73.9942619 40.746004)"
"POINT(-73.9938129 40.746618)"
"POINT(-73.993362 40.7472363)"
"POINT(-73.9926539 40.73733)"
"POINT(-73.9922249 40.737917)"
"POINT(-73.9917961 40.7385065)"
"POINT(-73.9913745 40.7390885)"
"POINT(-73.9909449 40.739673)"
"POINT(-73.9901204 40.7377994)"
"POINT(-73.9899513 40.7384888)"
"POINT(-73.9882004 40.7377511)"
"POINT(-73.9880786 40.7376997)"
"POINT(-73.9876562 40.7382825)"
"POINT(-73.9877673 40.7383406)"
"POINT(-73.9897649 40.739177)"
"POINT(-73.9895705 40.7398464)"
"POINT(-73.9905313 40.7402492)"
"POINT(-73.9914333 40.7423235)"
"POINT(-73.9893743 40.7405894)"
"POINT(-73.9900699 40.74088)"
"POINT(-73.989137 40.7413644)"
"POINT(-73.9879838 40.7408836)"
"POINT(-73.9895957 40.7415497)"
"POINT(-73.9893138 40.741921)"
"POINT(-73.9890141 40.7423149)"
"POINT(-73.9875132 40.7415369)"
"POINT(-73.9861199 40.73764)"
"POINT(-73.9856768 40.7382196)"
"POINT(-73.9873493 40.7389154)"
"POINT(-73.9872226 40.7388623)"
"POINT(-73.9867689 40.7394851)"
"POINT(-73.9868972 40.7395394)"
"POINT(-73.9852355 40.7388351)"
"POINT(-73.9847585 40.7395037)"
"POINT(-73.984086 40.7375427)"
"POINT(-73.9836379 40.7381579)"
"POINT(-73.9831479 40.7388264)"
"POINT(-73.9826644 40.7394963)"
"POINT(-73.986409 40.740211)"
"POINT(-73.986281 40.7401561)"
"POINT(-73.9859283 40.7408689)"
"POINT(-73.9857999 40.7408148)"
"POINT(-73.9870583 40.7421387)"
"POINT(-73.9865976 40.7427711)"
"POINT(-73.9854808 40.7414813)"
"POINT(-73.9853526 40.7414279)"
"POINT(-73.9850242 40.7421069)"
"POINT(-73.9848964 40.7420529)"
"POINT(-73.9842642 40.7401675)"
"POINT(-73.9838143 40.7407867)"
"POINT(-73.9833635 40.7414058)"
"POINT(-73.9845755 40.7427268)"
"POINT(-73.9844477 40.7426728)"
"POINT(-73.9829134 40.7420239)"
"POINT(-73.9824628 40.7426438)"
"POINT(-73.9928049 40.742901)"
"POINT(-73.9923179 40.743568)"
"POINT(-73.9918709 40.744186)"
"POINT(-73.9914189 40.744802)"
"POINT(-73.9909679 40.745421)"
"POINT(-73.9891545 40.7430424)"
"POINT(-73.9890109 40.743796)"
"POINT(-73.9886494 40.7428163)"
"POINT(-73.9881939 40.743451)"
"POINT(-73.987745 40.7440672)"
"POINT(-73.9888689 40.744533)"
"POINT(-73.9887289 40.745286)"
"POINT(-73.9905179 40.746038)"
"POINT(-73.9929105 40.7478553)"
"POINT(-73.9900669 40.746659)"
"POINT(-73.9885919 40.746036)"
"POINT(-73.9884519 40.746789)"
"POINT(-73.9896169 40.747277)"
"POINT(-73.9891567 40.7478958)"
"POINT(-73.9883049 40.747535)"
"POINT(-73.9881816 40.7482826)"
"POINT(-73.9861456 40.7433908)"
"POINT(-73.9856985 40.7440045)"
"POINT(-73.9873006 40.7446783)"
"POINT(-73.9868459 40.745301)"
"POINT(-73.9852456 40.7446233)"
"POINT(-73.9847976 40.745239)"
"POINT(-73.9839978 40.7432894)"
"POINT(-73.9841258 40.7433432)"
"POINT(-73.9836774 40.7439626)"
"POINT(-73.9835404 40.7439048)"
"POINT(-73.9820119 40.7432609)"
"POINT(-73.9832288 40.7445777)"
"POINT(-73.9830918 40.7445199)"
"POINT(-73.982778 40.7451978)"
"POINT(-73.9826408 40.7451404)"
"POINT(-73.9863929 40.745921)"
"POINT(-73.985954 40.7465291)"
"POINT(-73.9854921 40.747168)"
"POINT(-73.9850459 40.747773)"
"POINT(-73.9843477 40.7458558)"
"POINT(-73.9838962 40.7464898)"
"POINT(-73.9823186 40.7458297)"
"POINT(-73.9821967 40.7457787)"
"POINT(-73.9834429 40.747098)"
"POINT(-73.9829569 40.747765)"
"POINT(-74.0036839 40.748355)"
"POINT(-74.0032359 40.748974)"
"POINT(-74.0027849 40.749592)"
"POINT(-74.0023319 40.750209)"
"POINT(-74.0018819 40.750828)"
"POINT(-73.9999851 40.7484206)"
"POINT(-73.9990668 40.7496496)"
"POINT(-73.9986262 40.7502569)"
"POINT(-74.0014299 40.751445)"
"POINT(-74.0038541 40.7532586)"
"POINT(-74.0009842 40.7520763)"
"POINT(-73.9996873 40.7518406)"
"POINT(-73.9995559 40.7519412)"
"POINT(-73.9994661 40.7522409)"
"POINT(-73.9993842 40.7522084)"
"POINT(-74.0005304 40.7526895)"
"POINT(-73.9962039 40.7484275)"
"POINT(-73.9957491 40.7490521)"
"POINT(-73.9981518 40.7508988)"
"POINT(-73.9977159 40.7515002)"
"POINT(-73.9967937 40.7527264)"
"POINT(-73.9963292 40.753403)"
"POINT(-73.9939556 40.7515147)"
"POINT(-73.9934595 40.7521959)"
"POINT(-73.9946018 40.7526764)"
"POINT(-73.9929758 40.7528582)"
"POINT(-74.0025414 40.7551291)"
"POINT(-74.0020305 40.7557925)"
"POINT(-74.0015364 40.756477)"
"POINT(-73.9996343 40.7539186)"
"POINT(-73.9991496 40.7545834)"
"POINT(-73.9986588 40.7552565)"
"POINT(-74.0037789 40.7583437)"
"POINT(-74.0034302 40.7590589)"
"POINT(-74.0034309 40.7592527)"
"POINT(-74.003132 40.7592519)"
"POINT(-74.001079 40.7570856)"
"POINT(-74.0006277 40.7576858)"
"POINT(-74.0001818 40.7582984)"
"POINT(-73.9996996 40.7589299)"
"POINT(-73.9976176 40.753945)"
"POINT(-73.9971519 40.7546186)"
"POINT(-73.9958449 40.7540684)"
"POINT(-73.9963995 40.755102)"
"POINT(-73.998209 40.7558731)"
"POINT(-73.9977607 40.7564882)"
"POINT(-73.9966604 40.7552114)"
"POINT(-73.9953959 40.7546795)"
"POINT(-73.9949212 40.7552844)"
"POINT(-73.9944865 40.7559192)"
"POINT(-73.997307 40.7571105)"
"POINT(-73.9968471 40.7577413)"
"POINT(-73.9975962 40.7588387)"
"POINT(-73.9964139 40.7583353)"
"POINT(-73.9959431 40.758981)"
"POINT(-73.9948151 40.7576611)"
"POINT(-73.9940455 40.7565441)"
"POINT(-73.9935841 40.7571488)"
"POINT(-73.9930687 40.7578265)"
"POINT(-73.994394 40.7583702)"
"POINT(-73.9939358 40.7589791)"
"POINT(-73.9924629 40.748469)"
"POINT(-73.9920059 40.749101)"
"POINT(-73.9915629 40.749706)"
"POINT(-73.9906169 40.7510002)"
"POINT(-73.9887079 40.7485042)"
"POINT(-73.9882621 40.7491079)"
"POINT(-73.9880634 40.7490333)"
"POINT(-73.9877651 40.7497921)"
"POINT(-73.9877767 40.7506639)"
"POINT(-73.992525 40.7534779)"
"POINT(-73.990134 40.7516588)"
"POINT(-73.9896877 40.7522886)"
"POINT(-73.9876367 40.7514288)"
"POINT(-73.9874909 40.752159)"
"POINT(-73.9892429 40.752895)"
"POINT(-73.9887869 40.753517)"
"POINT(-73.9872888 40.750458)"
"POINT(-73.9845599 40.748439)"
"POINT(-73.9840759 40.749102)"
"POINT(-73.9824729 40.748432)"
"POINT(-73.9820239 40.74905)"
"POINT(-73.9836209 40.749724)"
"POINT(-73.9831796 40.7503411)"
"POINT(-73.9827239 40.750959)"
"POINT(-73.9868237 40.751088)"
"POINT(-73.9863989 40.7517)"
"POINT(-73.9859469 40.752317)"
"POINT(-73.9873099 40.752893)"
"POINT(-73.9870889 40.753607)"
"POINT(-73.9854879 40.752935)"
"POINT(-73.9850396 40.7535585)"
"POINT(-73.9822749 40.751577)"
"POINT(-73.9920789 40.754091)"
"POINT(-73.9916329 40.754707)"
"POINT(-73.9911769 40.75533)"
"POINT(-73.9907277 40.7559486)"
"POINT(-73.9883349 40.75413)"
"POINT(-73.987888 40.7547554)"
"POINT(-73.9874469 40.755373)"
"POINT(-73.992738 40.7576015)"
"POINT(-73.9902759 40.756567)"
"POINT(-73.9926298 40.7584291)"
"POINT(-73.9921389 40.7591031)"
"POINT(-73.9897913 40.7572335)"
"POINT(-73.9892909 40.7579112)"
"POINT(-73.988843 40.758532)"
"POINT(-73.9883857 40.7591595)"
"POINT(-73.9868607 40.7543237)"
"POINT(-73.9866389 40.755035)"
"POINT(-73.9863979 40.755804)"
"POINT(-73.9869488 40.7560361)"
"POINT(-73.9845959 40.754177)"
"POINT(-73.9841179 40.754842)"
"POINT(-73.9836239 40.755516)"
"POINT(-73.9831665 40.7561419)"
"POINT(-73.9864579 40.75671)"
"POINT(-73.9861363 40.7565752)"
"POINT(-73.9860129 40.7573404)"
"POINT(-73.98582 40.7572592)"
"POINT(-73.9855334 40.7579634)"
"POINT(-73.9850866 40.7585867)"
"POINT(-73.9853224 40.7586863)"
"POINT(-73.9827117 40.7567712)"
"POINT(-73.9822536 40.7573902)"
"POINT(-73.9846298 40.7592102)"
"POINT(-73.9809086 40.7378801)"
"POINT(-73.9804372 40.7385593)"
"POINT(-73.9799916 40.7391764)"
"POINT(-73.9795472 40.7397948)"
"POINT(-73.9780519 40.737554)"
"POINT(-73.9776029 40.738172)"
"POINT(-73.9771479 40.738796)"
"POINT(-73.9766999 40.73941)"
"POINT(-73.9817589 40.7407284)"
"POINT(-73.981306 40.7413442)"
"POINT(-73.9808563 40.7419683)"
"POINT(-73.9804101 40.7425859)"
"POINT(-73.9790905 40.7404072)"
"POINT(-73.9786352 40.7410343)"
"POINT(-73.978192 40.7416532)"
"POINT(-73.9777263 40.7422757)"
"POINT(-73.9761434 40.7401752)"
"POINT(-73.9757971 40.7406395)"
"POINT(-73.9753429 40.741274)"
"POINT(-73.9747152 40.7421284)"
"POINT(-73.9815643 40.743876)"
"POINT(-73.9799567 40.7431983)"
"POINT(-73.9794965 40.7438224)"
"POINT(-73.9811088 40.7444982)"
"POINT(-73.9806536 40.7451331)"
"POINT(-73.9772909 40.742887)"
"POINT(-73.9768108 40.7435252)"
"POINT(-73.9790375 40.7444569)"
"POINT(-73.9785904 40.745056)"
"POINT(-73.9773215 40.7453996)"
"POINT(-73.9817559 40.7464008)"
"POINT(-73.9819116 40.7464581)"
"POINT(-73.9817906 40.7464679)"
"POINT(-73.9802089 40.745734)"
"POINT(-73.9797239 40.746402)"
"POINT(-73.9812612 40.7470478)"
"POINT(-73.981449 40.7471233)"
"POINT(-73.9809528 40.7477967)"
"POINT(-73.9807611 40.7477162)"
"POINT(-73.9792379 40.747068)"
"POINT(-73.9780907 40.7457162)"
"POINT(-73.9768164 40.7460403)"
"POINT(-73.9776057 40.7463822)"
"POINT(-73.9787879 40.747684)"
"POINT(-73.9771463 40.7469955)"
"POINT(-73.9766964 40.7476147)"
"POINT(-73.9763706 40.7441069)"
"POINT(-73.9740149 40.743095)"
"POINT(-73.9758809 40.744779)"
"POINT(-73.9752239 40.744505)"
"POINT(-73.9753939 40.745442)"
"POINT(-73.9747479 40.745174)"
"POINT(-73.9735119 40.743782)"
"POINT(-73.9720775 40.7431864)"
"POINT(-73.9716437 40.7438525)"
"POINT(-73.9730147 40.7444619)"
"POINT(-73.9725637 40.7450799)"
"POINT(-73.971236 40.7445132)"
"POINT(-73.9749269 40.7460675)"
"POINT(-73.9743059 40.745798)"
"POINT(-73.9744847 40.7466699)"
"POINT(-73.9758418 40.7472865)"
"POINT(-73.9762483 40.7482313)"
"POINT(-73.9754219 40.747882)"
"POINT(-73.9740439 40.747296)"
"POINT(-73.973642 40.7463202)"
"POINT(-73.9721194 40.7456771)"
"POINT(-73.9716667 40.7463089)"
"POINT(-73.9731929 40.746941)"
"POINT(-73.9727361 40.7475605)"
"POINT(-73.9735909 40.7479204)"
"POINT(-73.9712077 40.7469339)"
"POINT(-73.9709375 40.7451712)"
"POINT(-73.9705866 40.7450399)"
"POINT(-73.9707623 40.7475404)"
"POINT(-73.9815996 40.7496412)"
"POINT(-73.9805025 40.7484151)"
"POINT(-73.9803097 40.7483355)"
"POINT(-73.9798605 40.7489496)"
"POINT(-73.980051 40.7490283)"
"POINT(-73.9795984 40.7496476)"
"POINT(-73.9794068 40.7495663)"
"POINT(-73.9811229 40.750282)"
"POINT(-73.9806751 40.7509034)"
"POINT(-73.9783443 40.7482941)"
"POINT(-73.9778879 40.748921)"
"POINT(-73.9774354 40.7495393)"
"POINT(-73.9791539 40.7502651)"
"POINT(-73.9789588 40.7501873)"
"POINT(-73.9786507 40.7508647)"
"POINT(-73.9785018 40.7508018)"
"POINT(-73.9785766 40.7508337)"
"POINT(-73.9787182 40.7508929)"
"POINT(-73.9769868 40.7501558)"
"POINT(-73.9765351 40.7507747)"
"POINT(-73.9818219 40.752197)"
"POINT(-73.9802214 40.7515213)"
"POINT(-73.9797697 40.7521385)"
"POINT(-73.9813719 40.752814)"
"POINT(-73.9808879 40.753481)"
"POINT(-73.979286 40.7528022)"
"POINT(-73.9782648 40.7515124)"
"POINT(-73.9780443 40.7514189)"
"POINT(-73.977788 40.752178)"
"POINT(-73.9775606 40.7520849)"
"POINT(-73.9783546 40.7524129)"
"POINT(-73.9787829 40.753481)"
"POINT(-73.975797 40.7488523)"
"POINT(-73.9753499 40.7494677)"
"POINT(-73.9749704 40.7485013)"
"POINT(-73.9745183 40.7491137)"
"POINT(-73.9748992 40.7500879)"
"POINT(-73.9740699 40.749735)"
"POINT(-73.9744076 40.7507644)"
"POINT(-73.9731442 40.7485336)"
"POINT(-73.9726919 40.749157)"
"POINT(-73.9722048 40.7498286)"
"POINT(-73.9717129 40.750494)"
"POINT(-73.9760253 40.7514557)"
"POINT(-73.9755579 40.752116)"
"POINT(-73.9739244 40.7514294)"
"POINT(-73.9751019 40.752741)"
"POINT(-73.9746479 40.753367)"
"POINT(-73.9734704 40.7520542)"
"POINT(-73.9712629 40.751122)"
"POINT(-73.9730142 40.752682)"
"POINT(-73.9725588 40.7533087)"
"POINT(-73.9803949 40.754155)"
"POINT(-73.9799374 40.7547823)"
"POINT(-73.9794829 40.755405)"
"POINT(-73.9783319 40.7541)"
"POINT(-73.9778749 40.754728)"
"POINT(-73.9769739 40.754349)"
"POINT(-73.9765157 40.7549743)"
"POINT(-73.9790239 40.756032)"
"POINT(-73.9774167 40.7553543)"
"POINT(-73.9769664 40.7559713)"
"POINT(-73.9817974 40.7580163)"
"POINT(-73.9813409 40.758645)"
"POINT(-73.9808827 40.7592744)"
"POINT(-73.9785654 40.7566543)"
"POINT(-73.9781159 40.757284)"
"POINT(-73.9765039 40.756606)"
"POINT(-73.9776549 40.757912)"
"POINT(-73.9772009 40.758538)"
"POINT(-73.9767439 40.759165)"
"POINT(-73.9759069 40.7547208)"
"POINT(-73.9756982 40.7546344)"
"POINT(-73.9741901 40.7539937)"
"POINT(-73.9737344 40.7546125)"
"POINT(-73.9754546 40.7553537)"
"POINT(-73.9752589 40.755272)"
"POINT(-73.9749986 40.7559739)"
"POINT(-73.9748156 40.7558973)"
"POINT(-73.9743465 40.7565228)"
"POINT(-73.9721132 40.7539219)"
"POINT(-73.9716487 40.754561)"
"POINT(-73.9732759 40.755243)"
"POINT(-73.9728199 40.75587)"
"POINT(-73.9723619 40.756498)"
"POINT(-73.9711943 40.7551864)"
"POINT(-73.9760449 40.757232)"
"POINT(-73.9755909 40.75786)"
"POINT(-73.9745414 40.7566051)"
"POINT(-73.9738863 40.757137)"
"POINT(-73.9740874 40.7572226)"
"POINT(-73.9751346 40.7584861)"
"POINT(-73.9746828 40.7591101)"
"POINT(-73.9736265 40.757861)"
"POINT(-73.9734121 40.7577705)"
"POINT(-73.9719072 40.7571246)"
"POINT(-73.9714515 40.7577482)"
"POINT(-73.9731752 40.7584754)"
"POINT(-73.9729651 40.7583902)"
"POINT(-73.9727177 40.7591042)"
"POINT(-73.9725068 40.7590185)"
"POINT(-73.9709917 40.7583747)"
"POINT(-73.96996 40.7488901)"
"POINT(-73.9696885 40.7487808)"
"POINT(-73.9693193 40.7494755)"
"POINT(-73.968866 40.7501044)"
"POINT(-73.968394 40.7507465)"
"POINT(-73.9708039 40.751748)"
"POINT(-73.9703409 40.752379)"
"POINT(-73.9699016 40.7529834)"
"POINT(-73.9694309 40.753624)"
"POINT(-73.9679688 40.7513683)"
"POINT(-73.9676834 40.7520165)"
"POINT(-73.9674436 40.7518375)"
"POINT(-73.9669868 40.752388)"
"POINT(-73.9669077 40.7525086)""POINT(-73.9665959 40.7532554)"
"POINT(-73.9665325 40.7533486)"
"POINT(-73.9689779 40.754251)"
"POINT(-73.9685199 40.754877)"
"POINT(-73.9707355 40.7558176)"
"POINT(-73.9702819 40.7564418)"
"POINT(-73.9661881 40.7538853)"
"POINT(-73.9657221 40.7545096)"
"POINT(-73.9680651 40.7555037)"
"POINT(-73.9676093 40.7561287)"
"POINT(-73.9698278 40.7570666)"
"POINT(-73.9693721 40.7576937)"
"POINT(-73.9705329 40.7590024)"
"POINT(-73.9689142 40.7583238)"
"POINT(-73.9684611 40.7589473)"
"POINT(-73.9671519 40.756766)"
"POINT(-73.9667019 40.757381)"
"POINT(-73.9662395 40.7580071)"
"POINT(-73.9657831 40.7586317)"
"POINT(-73.9652656 40.7551353)"
"POINT(-73.9648116 40.7557613)"
"POINT(-73.9643506 40.7563863)"
"POINT(-73.9620782 40.7554418)"
"POINT(-73.9616219 40.756059)"
"POINT(-73.963871 40.7570079)"
"POINT(-73.9634154 40.7576322)"
"POINT(-73.9645009 40.7589757)"
"POINT(-73.9629222 40.7583127)"
"POINT(-73.9611628 40.7566813)"
"POINT(-73.9606709 40.757364)"
"POINT(-73.9624319 40.758981)"
"POINT(-73.9601819 40.758037)"
"POINT(-74.0027615 40.7601759)"
"POINT(-74.0025211 40.7600849)"
"POINT(-74.0020623 40.7607126)"
"POINT(-74.0016371 40.7613201)"
"POINT(-74.0018553 40.7614363)"
"POINT(-73.9992635 40.7595167)"
"POINT(-73.9988038 40.7601488)"
"POINT(-74.001062 40.7619572)"
"POINT(-74.0013214 40.7620687)"
"POINT(-74.0005239 40.7626445)"
"POINT(-74.0003096 40.7625412)"
"POINT(-73.9997911 40.7631515)"
"POINT(-73.9995868 40.7630545)"
"POINT(-73.9988629 40.7644002)"
"POINT(-73.9984949 40.7642389)"
"POINT(-73.9987138 40.7643295)"
"POINT(-73.9983285 40.7608279)"
"POINT(-73.9978444 40.7615047)"
"POINT(-73.9954725 40.7596264)"
"POINT(-73.9949813 40.7603)"
"POINT(-73.9945258 40.7609247)"
"POINT(-73.9940687 40.7615516)"
"POINT(-73.9973837 40.7621219)"
"POINT(-73.9969248 40.7627499)"
"POINT(-73.9964572 40.7633783)"
"POINT(-73.9960051 40.7640036)"
"POINT(-73.9936068 40.762185)"
"POINT(-73.9931564 40.7628026)"
"POINT(-73.9955448 40.7646309)"
"POINT(-73.9977229 40.7653164)"
"POINT(-73.9977964 40.7655741)"
"POINT(-73.9975954 40.7654889)"
"POINT(-73.9971464 40.7660977)"
"POINT(-73.9973595 40.7661872)"
"POINT(-73.9969078 40.7667938)"
"POINT(-73.9966896 40.7667165)"
"POINT(-73.9964297 40.7674288)"
"POINT(-73.9962297 40.7673464)"
"POINT(-73.9950956 40.7652375)"
"POINT(-73.9946485 40.7658627)"
"POINT(-73.9941729 40.766505)"
"POINT(-73.9937221 40.7671047)"
"POINT(-73.9962419 40.7681538)"
"POINT(-73.9957764 40.7679669)"
"POINT(-73.9959551 40.7680419)"
"POINT(-73.9932634 40.7677405)"
"POINT(-73.995056 40.7693592)"
"POINT(-73.9948334 40.7692786)"
"POINT(-73.9945414 40.7698949)"
"POINT(-73.9943824 40.769834)"
"POINT(-73.9949544 40.7700168)"
"POINT(-73.9947774 40.7699701)"
"POINT(-73.9916836 40.7597281)"
"POINT(-73.9912266 40.7603553)"
"POINT(-73.9907673 40.7609858)"
"POINT(-73.9903157 40.7616057)"
"POINT(-73.9879284 40.7597869)"
"POINT(-73.9874752 40.7604088)"
"POINT(-73.9927001 40.7634284)"
"POINT(-73.9922512 40.7640441)"
"POINT(-73.9917952 40.7646694)"
"POINT(-73.989859 40.7622326)"
"POINT(-73.9894082 40.7628513)"
"POINT(-73.9889505 40.7634796)"
"POINT(-73.9884894 40.7641124)"
"POINT(-73.9880306 40.7647492)"
"POINT(-73.985069 40.7593949)"
"POINT(-73.9848066 40.7601058)"
"POINT(-73.9870176 40.7610365)"
"POINT(-73.9865644 40.7616583)"
"POINT(-73.9841739 40.759841)"
"POINT(-73.9837044 40.7604656)"
"POINT(-73.9844617 40.760776)"
"POINT(-73.9840466 40.7614285)"
"POINT(-73.9832503 40.7610948)"
"POINT(-73.982807 40.7617189)"
"POINT(-73.9861045 40.7622893)"
"POINT(-73.985648 40.7629156)"
"POINT(-73.9852015 40.7635282)"
"POINT(-73.9847412 40.7641596)"
"POINT(-73.9836281 40.7620648)"
"POINT(-73.983222 40.7626973)"
"POINT(-73.9823573 40.7623343)"
"POINT(-73.9828255 40.7633546)"
"POINT(-73.9824771 40.764037)"
"POINT(-73.9822147 40.7647366)"
"POINT(-73.9913291 40.7653085)"
"POINT(-73.9908871 40.7659147)"
"POINT(-73.9904252 40.766548)"
"POINT(-73.9875745 40.7653667)"
"POINT(-73.9899623 40.7671828)"
"POINT(-73.9927953 40.7683937)"
"POINT(-73.9923619 40.7689943)"
"POINT(-73.9919068 40.7696238)"
"POINT(-73.9895127 40.7678054)"
"POINT(-73.9890596 40.7684306)"
"POINT(-73.9885655 40.7691032)"
"POINT(-73.9880798 40.7697676)"
"POINT(-73.9871253 40.7659937)"
"POINT(-73.9866697 40.76661)"
"POINT(-73.9862073 40.7672471)"
"POINT(-73.9842687 40.7647981)"
"POINT(-73.9838266 40.7654145)"
"POINT(-73.9833765 40.7660319)"
"POINT(-73.9819936 40.7654522)"
"POINT(-73.9828782 40.7667155)"
"POINT(-73.982399 40.7674049)"
"POINT(-73.9857165 40.7679183)"
"POINT(-73.9852318 40.7685835)"
